symbol,regime,stage,accuracy,correlation,mae,updated_at
NIFTY,Bull,Kalman,0.45664739884393063,-0.18178652452163616,0.0056659583994955395,2026-08-08T22:15:55.534425
NIFTY,Bull,Particle,0.42196531791907516,0.07304732323656048,0.0018286040872227494,2026-08-08T22:15:55.534425
NIFTY,Bull,Ensemble,0.4508670520231214,-0.1731039266623536,0.011356484876201306,2026-08-08T22:15:55.534425
NIFTY,Bull,Meta Learning,0.005780346820809248,0.0,0.0017308953336647424,2026-08-08T22:15:55.534425
NIFTY,Bull,Institutional,0.005780346820809248,0.0,0.0017308953336647424,2026-08-08T22:15:55.534425
NIFTY,Bull,Fusion,0.3930635838150289,-0.22085377410087204,0.0028498682126045665,2026-08-08T22:15:55.534425
NIFTY,Bear,Kalman,0.35129310344827586,-0.2208770266231949,0.005723478239356198,2026-08-08T22:15:55.534425
NIFTY,Bear,Particle,0.4267241379310345,-0.07880379835889317,0.0030186332192117683,2026-08-08T22:15:55.534425
NIFTY,Bear,Ensemble,0.3620689655172414,-0.3028553411644693,0.012733341285523598,2026-08-08T22:15:55.534425
NIFTY,Bear,Meta Learning,0.0021551724137931034,0.0,0.002808527429853755,2026-08-08T22:15:55.534425
NIFTY,Bear,Institutional,0.0021551724137931034,0.0,0.002808527429853755,2026-08-08T22:15:55.534425
NIFTY,Bear,Fusion,0.3857758620689655,-0.448972332437564,0.0038752232979628494,2026-08-08T22:15:55.534425
NIFTY,Sideways,Kalman,0.4842105263157895,0.0,,2026-08-08T22:15:55.534425
NIFTY,Sideways,Particle,0.21052631578947367,0.0,,2026-08-08T22:15:55.534425
NIFTY,Sideways,Ensemble,0.4842105263157895,0.0,,2026-08-08T22:15:55.534425
NIFTY,Sideways,Meta Learning,0.0,0.0,,2026-08-08T22:15:55.534425
NIFTY,Sideways,Institutional,0.0,0.0,,2026-08-08T22:15:55.534425
NIFTY,Sideways,Fusion,0.5578947368421052,0.0,,2026-08-08T22:15:55.534425
